,ids,date,text
55,1365448826232930307,2021-02-26 23:49:03,"@AnaKasparian The VP needs 50 votes to overrule the Parliamentarian. She does not have the 50 votes. Any attempt w/o support is political theatre that will lead to embarrassing defeat.

This is squarely on Manchin and Sinema - not Biden or Harris."
56,1365448792431071240,2021-02-26 23:48:55,"@BernieSanders Can always come up with separate bill and make everybody vote on record for it, stop blaming the parliamentarian for something you don’t even got the 50 votes to pass right now, blame Manchin and Sinema, they are the ones actually saying they wouldn’t support $15/hr geez"
57,1365448622096084992,2021-02-26 23:48:14,"@BrielleClaremo1 @WormLagger @davidsirota Yes, and not to mention that if just 2 GOP senators crossed the aisle we wouldn't need Sinema and Manchin. Ppl are angry at the 48 Dems who are on their side and not angry at the 50 GOP who aren't and it's really pretty stupid. Stop biting the hand that's trying to feed you!"
58,1365448556002312193,2021-02-26 23:47:59,@account_muppet @SenhorRaposa Mark Kelly is also up in 2022 a midterm for his party. Sinema isn't up until 2024. A presidential year is a state her party has a good chance of winning on the presidential level
59,1365448526973579267,2021-02-26 23:47:52,@SenMarkey Great - how will you get Manchin and Sinema on board since the Budget Chairman completely failed to do this?
60,1365448519323066370,2021-02-26 23:47:50,"@RBReich I'm not going to have Sinema and Manchin kill the whole bill over this. @BernieSanders is working on a work around. Otherwise, use your connections to get Schumer to kick @kyrstensinema and @Sen_JoeManchin in the ass to kill the filibuster"
61,1365448454995083266,2021-02-26 23:47:35,"It sucks having to be patient because I myself want to see the obstructionist parliamentarian fired for getting in the way. Sinema can be primaried but Manchin cannot. This is the situation we are in and being rash is gonna give us the wrong outcome, and no money. https://t.co/Xknw4UiGfm"
62,1365448447436931075,2021-02-26 23:47:33,@CallForCongress Omg y’all are so effing annoying. Firing the Senate Parliamentarian will do NOTHING. You know why? Two names: Sinema and Manchin. Even if we fire the senate parliamentarian and get the 15$ wage to a vote Manchin and Sinema will vote NO and we will be right where we started
63,1365448327433621506,2021-02-26 23:47:04,Tell that to SINEMA &amp; MANCHIN! https://t.co/Yumhn5gHS7
64,1365448269506244611,2021-02-26 23:46:50,"@supersinga @RBReich Yeah, it’s not Republicans fault? Or Manchin or Sinema? Parliamentarian could be overruled, too. You just saw the opportunity to talk shit."
65,1365448251705610242,2021-02-26 23:46:46,"@SenMarkey Perhaps, I don't know, talk to Manchin &amp; Sinema???"
66,1365448244948475906,2021-02-26 23:46:45,"50 - 50 is not “control” - saying it out loud won’t make it so.

It’s barely an advantage.

We have he people still have a lot of work to do.

Putting pressure on Manchin and Sinema is some of that work.

https://t.co/utCO2c6R0i https://t.co/zqwohjEgYS"
67,1365448218792710145,2021-02-26 23:46:38,I feel like Manchin and Sinema deserve some of the ire that Biden/Harris are getting.
68,1365448209515094016,2021-02-26 23:46:36,@CKProgressive @JoeBiden Manchin and probably Sinema wouldn't vote for the bill if it raises minimum wage to $15.
69,1365448170071711747,2021-02-26 23:46:27,"@SenatorTimScott Apparently, Republicans in Congress have not been able to get the message out that so much of the 1.9 trillion is “pork”. Maybe if a few of you could get on the MSM to get the word out, so many Americans would not be in favor. I thought Manchin &amp; Sinema were against the bill."
70,1365448099594981380,2021-02-26 23:46:10,Talk to Manchin &amp; Sinema instead of legislating by tweet https://t.co/Xi48rZCVdV
71,1365448091252510726,2021-02-26 23:46:08,@bamableu @concerned12020 We need to put pressure on Manchin &amp; Sinema- contact your senators &amp; lean on those two. They are the obstacle. They'll still vote for the Justice in Policing &amp; For the People Acts. We'll get some big reforms. But they are holding up the wage.
72,1365448082352144386,2021-02-26 23:46:06,"@ericisaac Oh, I’m pretty sure Schumer asked the parliamentarian to rule it was out of order so he could pretend his hands were tied. Anything to avoid putting Sinema and Manchin on the spot in front of all America, apparently."
73,1365448041818427393,2021-02-26 23:45:56,@SenhorRaposa Mark Kelly isn't an ultra progressive but he won by the same as Sinema in a redder year without being obnoxious about things like the minimum wage
74,1365448020184231936,2021-02-26 23:45:51,"And frankly, if it wasn't Bernie, it probably would've been Manchin/Sinema demanding Minimum Wage changes that delayed things.
But again, this is getting done before 3/14 regardless."
75,1365448011879432202,2021-02-26 23:45:49,kafasına sıçtıklarım daha ana evreni oluşturamamışken gidip multiverse karakteri calvin ellis’i sinema evrenine çekiyorlar. valla bu dc’nin sinema evreni bokkkum gibi
76,1365447956317409281,2021-02-26 23:45:36,"@djrothkopf There are more Democratic Senators standing in the way of filibuster reform than just Sinema and Manchin.

Please check here to see if your Senators support or oppose it, and then please contact them to express your support or opposition to their position.
https://t.co/ks71fORYEW"
77,1365447878206885888,2021-02-26 23:45:17,"@Grasshopper2049 Apparently Kyrsten Sinema and Joe Manchin agree with Rethuglikkklans that people are just fine subsisting on $7.25 hr. I don’t generally like to drag Dems (even DINOs), but come on. I’d love to see any of them do it for a year (much less many years)."
78,1365447873031245824,2021-02-26 23:45:16,@davenewworld_2 Didn’t know that about the parliamentarian.  Manchin and Sinema are really pissing me off. Especially with the filibuster. Do they think Mitch wouldn’t do it?
79,1365447871739400194,2021-02-26 23:45:16,"@JamesFales2 I'll tell you what you're misinformed about, you think Manchin or Sinema can unilaterally hold up bills without the party leader &amp; party donor permission. And you think Harris can't overrule the parliamentarian when she ran on $15/hr min wage.

Tell me what I'm misinformed about."
80,1365447802139082753,2021-02-26 23:44:59,"Manchin and Sinema can claim that they are protecting something all they want, but bet your ass if the GOP takes a slim majority  they will, they wouldn't hesitate a moment and give the same kind of weak ass excuses they gave for seating a SC justice ""during"" the election https://t.co/JrVAsvRFpY"
81,1365447767473201155,2021-02-26 23:44:51,"It wouldn't bother me if Manchin, Sinema et al converted Republican. That way, we can see them coming. Couldn't possibly be any worst than what's occuring..., many believe it would. If they converted, then the next time DEMS win, they might be more productive, whatever century."
82,1365447730026397696,2021-02-26 23:44:42,"Manchin &amp; Sinema still exist, we need 2 more seats in 2022 for them not to matter. #CovidRelief is passing the House &amp; the Dem Senate WILL pass it. But w/o Manchin &amp; Sinema-no 15$ wage. Bright side: they'll vote for the #ForThePeopleAct &amp; other big reforms. We will get change. https://t.co/bUei5uo0d6"
83,1365447655351017475,2021-02-26 23:44:24,"Biden, his administration &amp; all Democrats need to get behind this. It'll be the only chance they'll get at raising the minimum wage. Whatever it takes to get Sinema &amp; Manchin behind this-do it. It'll never get 60 votes alone. Overrule the Parliamentarian. An unelected position. https://t.co/chrHuHde3N"
84,1365447576951152651,2021-02-26 23:44:05,@NohpalliNapoli @JosephNSanberg @Sen_JoeManchin and Kyrsten Sinema are the ones you should be addressing https://t.co/9FKaz6zqUd
85,1365447558437478406,2021-02-26 23:44:01,"@MiniMudds @GOP I agree, BUT with sinema &amp;  @Sen_JoeManchin actually play for the GQP, even against the interest of his constituents, we don't have the votes to do even that. Was Manchin &amp; Sinema against $15?"
86,1365447529270280193,2021-02-26 23:43:54,"So y'all are actually asking for Bernie to kill the COVID bill if it doesn't include the $15 minimum wage hike because Manchin and Sinema have already said they'd vote against it. Y'all know that right? Oh are y'all doing the performative thing again? My bad. 

#DontKillItBernie"
87,1365447460953366528,2021-02-26 23:43:38,@stevebenen Majority of the Senate only if Sinema and Manchin on board or 2 Rs sign on and VP votes and over rule parliamentarian advisory. No 50 clear Senate votes for $15/hr so not accurate a majority
88,1365447417634512897,2021-02-26 23:43:27,"Genuinely curious. And I’m upset too. But to those who want the Democrats to replace the parliamentarian and “get tough” — what’s the plan for when that happens, then Manchin and Sinema vote against the bill, and Americans don’t get COVID relief?"
89,1365447315406942210,2021-02-26 23:43:03,"@brycetache To do what? To stumble over Manchin and Sinema in the Senate? And never had the Covid Bill approved? Strategically, this decision is good for Dems - Covid Bill will be passed and they can advocate intensively for a new $15 min wage bill."
90,1365447289498529796,2021-02-26 23:42:57,"@BaddCompani Maybe it went like this..... Biden throws Bernie a bone to chew on while Nancy pretends to cave to the squad throwing them a biscuit and even leaves the biscuit in a bill, meanwhile Manchin and Sinema get to balk at bone and biscuit for cover, no $15 blame the parliamentarian. 😂"
91,1365447285463789569,2021-02-26 23:42:56,@AmyMincey7 @Sbh08Mae You'll never convince the obstructionist Democrats Sinema and Manchin.  Need 2 more seats before they'll be able to end the filibuster I think.
92,1365447166248972288,2021-02-26 23:42:27,"@dontcuckmebro @InnerLoud @JonnyEp @hasanthehun Yes. And too many Ds don’t. And it’s not entirely Biden’s fault when Sinema or Manchin don’t, in the end, toe the party line."
93,1365447157432647680,2021-02-26 23:42:25,"@Shelbypnw7 @HershKeith ultimately we need to replace folks like Manchin and Sinema with more reliable members who will play ball, but of course we don’t have that as an immediate option. It’s tricky"
94,1365447128894623746,2021-02-26 23:42:18,"@JosephNSanberg There is no line to hold on including it in the ARP bill if they only have 48 votes. Rather than target Biden-Harris admin, direct your ire at Joe Manchin and Krysten Sinema."
95,1365447096967585797,2021-02-26 23:42:11,@RBReich Because 2 Democrats (Manchin and Sinema) have the power to block what they choose and so far and managed to do just that !
96,1365446991140904960,2021-02-26 23:41:46,"@SenatorSinema @SenMarkKelly That's really, truly great; but please, Sen. Sinema, help American People by doing away with the filibuster. It's now or maybe never, sister."
97,1365446973655027715,2021-02-26 23:41:41,"@JacksonAntione @g_l_o_o_m_i_e @JamaalBowmanNY You're highly fucking naive if you think Manchin and Sinema are killing COVID relief over a ficking $15 minimum wage.

You're trying to convince us they will commit political suicide by pissing off their constituents and the entire nation.

You sound ridiculous."
98,1365446841366642692,2021-02-26 23:41:10,@NudelHalbWeiner @DestroyGQP21 @MissesDread Theres nothing in the way of a relief bill with minimum wage besides sinema and manchins very obvious bluffing that theyll vote no.  Bernie has already said he wants those with the power to do so to overrule the parliamentarian. Thats all he can do on this particular instance
99,1365446826980118529,2021-02-26 23:41:06,"@RealKHiveQueenB @proreviewer1 VP can do nothing about the minimum wage without the support of joe manchin, and trojan horse krysten sinema.

so don’t put this shit on her. it’s barney’s fault for not gathering support for his stand-alone $15 wage bill, and trying to shove it through by reconciliation."
0,1365813965201137665,2021-02-27 23:59:59,@fite4democracy @wittcap79 @ninaturner @StephanieKelton I wouldn't count on it. He holds more conservative dist and since Dems need 50 votes to pass it he and kyrsten sinema could kill it there. The house passed the 19tn plan today with the $15 min in it but that has to go through full senate process cont.
1,1365813877716389897,2021-02-27 23:59:38,"@mustardwolfx @JoeManchinWV @kyrstensinema For $15, it's really Manchin and Sinema. Biden has little or no leverage over them.

Based on your bio you're also in Oregon, so we also have little direct influence on them. We can push @JeffMerkley and @RonWyden to influence them, but that's about it."
2,1365813802751516678,2021-02-27 23:59:20,"@flintcraw @Thepolcker @TWuerffel @WalkerBragman Hard to do it in AZ, too. The only reason Sinema is a thing is Bc she appeals to Arizonans w her centrist policies. Shes basically a Republican w a smile. I might be wrong."
3,1365813795503931392,2021-02-27 23:59:19,"@entropycat88 @augment97 @reclaimthefight Well the 15 dollars minimum wage will never pass. But the 11 or 12 dollars for minimum wage if it's proposed then Manchin, Sinema, Romney and other Conservatives would support it. It's still waaay better than the $7.25 for minimum wage that is still currently."
4,1365813790256758785,2021-02-27 23:59:17,"The only way to get a $15/hr minimum wage is if public pressure forces Senators Manchin and Sinema to do so

—&gt; the only way to increase public pressure is by forcing them to vote against it in the covid-19 bill."
5,1365813728076267529,2021-02-27 23:59:03,"This seems right. One question: I’m not familiar enough with procedures to know exactly how it works, but can’t Harris overrule the parliamentarian so that the $15 min. wage stays, forcing Sinema and Manchin to hash it out with their colleagues? Seems better than dropping it. https://t.co/XiZeMquMso"
6,1365813711764484096,2021-02-27 23:58:59,"@Dokule They are doing what can be done with the current Senate. I suppose you can blame Manchin and Sinema if you like, but I think this a very big piece of legislation as long as it’s just the start."
7,1365813462081929223,2021-02-27 23:57:59,"@AdyBarkan All the while, use the news cycle and the growing public pressure to privately urge Manchin and Sinema to bust the filibuster if the GOP votes blocks all six bills in the Senate.

Say the public will understand that the GOP was being intransigent.  They will."
8,1365813134091374593,2021-02-27 23:56:41,Bruce Wayne / Batman=Robert PattinsonSelina Kyle / Catwoman=Zoë KravitzEdward Nashton / The ...devamı sitede. #gundem #film #sinema #sinemalar https://t.co/Ov6atlKprK #aksiyon #dram #film
9,1365813117427609605,2021-02-27 23:56:37,@greggrunberg @RexChapman Get us rid of Manchin and Sinema.
10,1365813113459679232,2021-02-27 23:56:36,@RebeccaKKatz @RealNicoForReal Manchin and Sinema seem to be DINOs. They sure as hell aren’t helping when it comes to filibustering and increasing the minimum wage.
11,1365812833200529410,2021-02-27 23:55:29,The actual problem is the filibuster. We need to pass more stuff besides the minimum wage. You can bitch about the Biden administration all you want but until someone convinces Manchin and Sinema we're screwed. You can't do everything with reconciliation. 🙄 https://t.co/1SgSgi4Wg9
12,1365812732281253889,2021-02-27 23:55:05,"@AndramoldaV Exactly. No one wants to provide support to them if they don’t use their majority to enact some progressive legislation.

Manchin and Sinema are apparently ok with McConnell back in charge in 2022"
13,1365812604841689093,2021-02-27 23:54:35,@WaywardWinifred @ivyjofreeman Well Fred we can't change he filibuster rules when we are holding such a slim margin in the Senate. Especially since Sen Manchin and Sen Sinema will not support removing the filibuster. We R Fucked. I say put it in and make Rep   fight to take it out.
14,1365812585635938305,2021-02-27 23:54:30,@tify330 @MsMariaT Sinema &amp; Manchin are two of a kind... https://t.co/I6E0POo9lM
15,1365812457432887297,2021-02-27 23:54:00,"@AlexPadilla4CA ALL Senators need 2 TALK with Sinema &amp; Manchin! Tell them why FILIBUSTER must end!  Explain how Repubs R so lost &amp; dangerous that major change must happen now.  Laws wont keep flipping if PR &amp; DC R added as states, pass voting rights act &amp; expand SCOTUS!"
16,1365812333663186948,2021-02-27 23:53:30,"@basedpogtrad Ayaan Hirsi Ali
Masih Aleinjad
Krysten Sinema is cool ig
Josh Hawley too"
17,1365812247369379840,2021-02-27 23:53:09,"@Anything4Smilez @eshaLegal @WaywardWinifred @DougHenwood @WalkerBragman Are you acually suggesting that if Bernie Sanders or Elizabeth Warren or Debbie Stabenow became majority leader, Manchin and Sinema line up behind a $15 minimum wage?"
18,1365811797425545218,2021-02-27 23:51:22,"Or, as an alternative, stop being idiots, get someone to whip Manchin and Sinema into line, kill the filibuster, and pass the kind of bold, sweeping legislation that American needs right now, to save democracy from Fascist corruption. Stop playing defense, @TheDemocrats."
19,1365811796532207618,2021-02-27 23:51:22,"Dear @TheDemocrats:

In 2022, when the GOP takes both chambers of Congress, because voters are angry you did nothing for 2 years, blame Senators @Sen_JoeManchin &amp; @SenatorSinema.

In 2024, when the GOP seizes full control and American Fascism runs amok, blame Manchin and Sinema."
20,1365811739506319365,2021-02-27 23:51:08,@EveylnM67 @mandicmua @AnaKasparian That would be pointless because Manchin and Sinema could vote in favor of it since they know it needs 60 votes to pass outside reconciliation.
21,1365811571780427781,2021-02-27 23:50:28,"@SenSchumer @AAFederation Still, you are letting Manchin and Sinema empower the American Nazi Party!"
22,1365811548413976576,2021-02-27 23:50:23,"@BlueSteelDC Something that profoundly bugs me? Sinema is being an obstacle. But Kelly, apparently isn't."
23,1365811448698429442,2021-02-27 23:49:59,"@posco I agree that it is a tactical decision, and there are arguments for and against. Trepidation is natural - it feels like crossing the Rubicon. I personally am convinced that the risks of inaction are far greater. And that Manchin and Sinema will show up when the battle starts."
24,1365811246663012354,2021-02-27 23:49:11,"“Aku selalu suka dengan cahaya. Di dalam lagu, puisi, sinema, bahkan obrolan sehari-hari, tanpa sadar ada cahaya yang masuk menembus ke relung kita. Dan sebagaimana manusia yang sarat dengan kegelapan, ia menelanjangi segala misteri yang aku pungut dari lika-liku hidup.”"
25,1365811065985105922,2021-02-27 23:48:28,The filibuster isn’t going anywhere also thanks to Joe Manchin and Kyrsten Sinema. These 2 need to be held accountable in every regard. https://t.co/zhxOAz6xY4
26,1365811062474485760,2021-02-27 23:48:27,"1. Overrule the parliamentarian.
2. Attach things Manchin wants to the bill.
3. Attach things Sinema wants to the bill.

Bill will pass. https://t.co/nM127ZIx99"
27,1365811056652689410,2021-02-27 23:48:26,@RoKhanna so you think the relief bill would pass the senate with the 15 dollars in it? Have you spoken to Sinema and Manchin?
28,1365810994384142340,2021-02-27 23:48:11,"@EricBoehlert well if they could get Manchin and Sinema to switch, we could get clear the filibuster and move on to our agenda"
29,1365810891355217925,2021-02-27 23:47:46,"@shaktitots @VP COVID relief is must pass. Separating it is admitting defeat and best case scenario we end up w Romney’s bill for 10 in 5 yrs. horrible. Call Manchin and Sinema’s bluff, make them Vote no on raising the minimum wage benefiting millions of Americans living on a poverty min wage"
